symbol	company	identifier	sedol	weight	sector	shares_held	local_currency
COF	CAPITAL ONE FINANCIAL CORP	14040H105	2654461	0.00202119534439644	-	7241579	USD
VRTX	VERTEX PHARMACEUTICALS INC	92532F100	2931034	0.0020164326801124285	-	2951506	USD
SYK	STRYKER CORP	863667101	2853688	0.0020085147507402593	-	3995233	USD
PH	PARKER HANNIFIN CORP	701094104	2671501	0.002002680486992345	-	1462156	USD
MDT	MEDTRONIC PLC	G5960L103	BTN1Y11	0.001968895337227638	-	14851694	USD
MO	ALTRIA GROUP INC	02209S103	2692632	0.0019686274373616626	-	19498773	USD
NOW	SERVICENOW INC	81762P102	B80NXX8	0.001940239973785502	-	12129740	USD
APP	APPLOVIN CORP CLASS A	03831W108	BMV3LG4	0.0019153153640325082	-	3145414	USD
CME	CME GROUP INC	12572Q105	2965839	0.0018876720667507245	-	4177440	USD
GLW	CORNING INC	219350105	2224701	0.0018866996894594055	-	9069461	USD
SO	SOUTHERN CO/THE	842587107	2829601	0.0018835841132402813	-	12755227	USD
MCK	MCKESSON CORP	58155Q103	2378534	0.001878583315742069	-	1418910	USD
CMCSA	COMCAST CORP CLASS A	20030N101	2044545	0.0018258467310138995	-	41567412	USD
SBUX	STARBUCKS CORP	855244109	2842255	0.0018088896617193665	-	13196938	USD
DUK	DUKE ENERGY CORP	26441C204	B7VD3F2	0.0018080363510351476	-	9025181	USD
ADBE	ADOBE INC	00724F101	2008154	0.0017684070153052682	-	4755044	USD
TMUS	T MOBILE US INC	872590104	B94Q9V0	0.001763545128848673	-	5488144	USD
CRWD	CROWDSTRIKE HOLDINGS INC   A	22788C105	BJJP138	0.0017480367032738605	-	2926510	USD
EQIX	EQUINIX INC	29444U700	BVLZX12	0.0017079807122018717	-	1138863	USD
VRT	VERTIV HOLDINGS CO A	92537N108	BL3LWS8	0.0017007573380377874	-	4436261	USD
SNDK	SANDISK CORP	80004C200	BSNPZV3	0.0016673492325288979	-	1715305	USD
