symbol	company	identifier	sedol	weight	sector	shares_held	local_currency
NVDA	NVIDIA CORP	67066G104	2379504	0.07563755196777117	-	281531491	USD
AAPL	APPLE INC	037833100	2046251	0.06646744970824578	-	170091279	USD
MSFT	MICROSOFT CORP	594918104	2588173	0.04857770061327348	-	86032023	USD
AMZN	AMAZON.COM INC	023135106	2000019	0.03643219076425146	-	113181015	USD
GOOGL	ALPHABET INC CL A	02079K305	BYVY8G0	0.030665639202999306	-	67454428	USD
AVGO	BROADCOM INC	11135F101	BDZ78H9	0.026325469972715437	-	54933510	USD
GOOG	ALPHABET INC CL C	02079K107	BYY88Y7	0.02442718765892974	-	54185558	USD
META	META PLATFORMS INC CLASS A	30303M102	B7TL820	0.022438738456306756	-	25341495	USD
TSLA	TESLA INC	88160R101	B616C79	0.018992198898421943	-	32586584	USD
BRK-B	BERKSHIRE HATHAWAY INC CL B	084670702	2073390	0.015541669655190346	-	21247147	USD
JPM	JPMORGAN CHASE + CO	46625H100	2190385	0.014106500042245779	-	31240856	USD
LLY	ELI LILLY + CO	532457108	2516152	0.013397762363029987	-	9181890	USD
XOM	EXXON MOBIL CORP	30231G102	2326618	0.011901381002652412	-	48422849	USD
JNJ	JOHNSON + JOHNSON	478160104	2475833	0.010421008254728801	-	27924867	USD
WMT	WALMART INC	931142103	2936921	0.00968611818806485	-	50795901	USD
V	VISA INC CLASS A SHARES	92826C839	B2PZN04	0.008889368050099038	-	19480350	USD
COST	COSTCO WHOLESALE CORP	22160K105	2701271	0.007837307972579251	-	5144561	USD
MU	MICRON TECHNOLOGY INC	595112103	2588184	0.00733119643791317	-	13037342	USD
NFLX	NETFLIX INC	64110L106	2857817	0.007146763258544787	-	48928719	USD
MA	MASTERCARD INC   A	57636Q104	B121557	0.007093121939057296	-	9437701	USD
ABBV	ABBVIE INC	00287Y109	B92SR70	0.0067309981485565926	-	20481727	USD
CVX	CHEVRON CORP	166764100	2838555	0.006555541761218469	-	21723225	USD
AMD	ADVANCED MICRO DEVICES	007903107	2007849	0.006072091639322111	-	18896005	USD
CAT	CATERPILLAR INC	149123101	2180201	0.006020125987680271	-	5392342	USD
PG	PROCTER + GAMBLE CO/THE	742718109	2704407	0.0059276550555552214	-	26911238	USD
PLTR	PALANTIR TECHNOLOGIES INC A	69608A108	BN78DQ4	0.005923615499141604	-	26452314	USD
HD	HOME DEPOT INC	437076102	2434209	0.005807475758696769	-	11527578	USD
BAC	BANK OF AMERICA CORP	060505104	2295677	0.005791995779551253	-	76900793	USD
GE	GENERAL ELECTRIC	369604301	BL59CR9	0.005433612319063156	-	12144520	USD
CSCO	CISCO SYSTEMS INC	17275R102	2198163	0.005424864933940335	-	45784271	USD
MRK	MERCK + CO. INC.	58933Y105	2778844	0.005313782119672547	-	28765914	USD
KO	COCA COLA CO/THE	191216100	2206657	0.005213551249548007	-	44827858	USD
AMAT	APPLIED MATERIALS INC	038222105	2046552	0.00497066917984926	-	9190552	USD
LRCX	LAM RESEARCH CORP	512807306	BSML4N7	0.0049073329249690895	-	14459647	USD
RTX	RTX CORP	75513E101	BM5M5Y3	0.00462628951492837	-	15542022	USD
GS	GOLDMAN SACHS GROUP INC	38141G104	2407966	0.004566384389446432	-	3472586	USD
WFC	WELLS FARGO + CO	949746101	2649100	0.004410088465986232	-	35806210	USD
UNH	UNITEDHEALTH GROUP INC	91324P102	2917766	0.004392743308941096	-	10488227	USD
ORCL	ORACLE CORP	68389X105	2661568	0.004360785929313368	-	19642362	USD
PM	PHILIP MORRIS INTERNATIONAL	718172109	B2PKRQ3	0.004334852974559282	-	18023870	USD
GEV	GE VERNOVA INC	36828A101	BP6H4Y1	0.004268514481455658	-	3120650	USD
LIN	LINDE PLC	G54950103	BNZHB81	0.004081248625491059	-	5406307	USD
IBM	INTL BUSINESS MACHINES CORP	459200101	2005973	0.004022500508759688	-	10822418	USD
INTC	INTEL CORP	458140100	2463247	0.003993305986234609	-	54388205	USD
MCD	MCDONALD S CORP	580135101	2550707	0.003873086792522687	-	8245058	USD
PEP	PEPSICO INC	713448108	2681511	0.003740509548449108	-	15822149	USD
VZ	VERIZON COMMUNICATIONS INC	92343V104	2090571	0.003686090240318996	-	48821526	USD
C	CITIGROUP INC	172967424	2297907	0.0035657214334065706	-	20230337	USD
MS	MORGAN STANLEY	617446448	2262314	0.0035379332749662317	-	13927782	USD
KLAC	KLA CORP	482480100	2480138	0.0035255453019644722	-	1517445	USD
T	AT+T INC	00206R102	2831811	0.0035073523367831444	-	81044696	USD
NEE	NEXTERA ENERGY INC	65339F101	2328915	0.003422092760922405	-	24109875	USD
AMGN	AMGEN INC	031162100	2023607	0.0033665563408951933	-	6233779	USD
TMO	THERMO FISHER SCIENTIFIC INC	883556102	2886907	0.0032879894622036814	-	4349248	USD
TJX	TJX COMPANIES INC	872540109	2989301	0.0031840182620665315	-	12854783	USD
TXN	TEXAS INSTRUMENTS INC	882508104	2885409	0.003152559593107152	-	10505776	USD
ABT	ABBOTT LABORATORIES	002824100	2002305	0.0031504849567268256	-	20130164	USD
CRM	SALESFORCE INC	79466L302	2310525	0.0030881959942501854	-	10847170	USD
GILD	GILEAD SCIENCES INC	375558103	2369174	0.0030803263399036573	-	14362276	USD
